[0.,0.]
[-1.8199685, 1.0521957]
[-0.55125  ,-1.2723064]
[0.50607276,0.9155944 ]
[-0.7857957,-0.9563796]
[0.9585634,0.3777359]
[0.32586583,0.4637788 ]
[0.8228107 ,0.24886179]
[-1.4549043, 0.9847457]
[0.8293191,1.356108 ]
[-1.143332 ,-1.1385822]
[-0.4883209 , 0.41841468]
[-0.7456121, 0.8580229]
[-0.6405876, 1.595454 ]
[ 0.00152017,-0.5151096 ]
[0.16388814,0.23099856]
[1.7734025,1.075811 ]
[-1.1306394, 1.5941658]
[ 0.18463448,-1.143313  ]
[-0.67726076,-0.06488101]
[ 0.5458507 ,-0.73296916]
[2.3420854 ,0.15230177]
[ 0.16518621,-0.65490085]
[0.30487198,1.7523035 ]
[1.1711202 ,0.04351647]
[ 0.51313573,-1.4603112 ]
[ 1.06983   ,-0.71664006]
[-0.52418417, 0.14633884]
[ 0.4305748,-0.8022713]
[-0.9713071, 1.8823316]
[-0.80300814, 0.13914038]
[-1.1494775 ,-0.37744907]
[ 1.1092044,-0.1588324]
[-1.1533875,-0.6362258]
[-0.00863951,-1.4751228 ]
[ 0.40532497,-0.21170229]
[0.95862776,0.38651285]
[ 2.7508466 ,-0.04710519]
[0.7459522 ,0.54725754]
[ 1.2024258,-0.8210596]
[-2.537815 , 0.7205458]
[-0.54405516, 0.91455305]
[ 0.30490306,-0.24300964]
[0.518177  ,0.44605714]
[ 1.0773661,-0.7442935]
[-1.4463108 ,-0.16063917]
[-0.4190691, 1.0163122]
[ 0.58456665,-1.4467572 ]
[-0.7253151,-0.1392919]
[-0.94878304,-0.25237066]
[ 0.7270246,-0.3892476]
[-0.4114484,-0.0315132]
[-1.809659 ,-0.4082898]
[-0.24536397,-0.87320197]
[ 0.28766814,-1.2216009 ]
[-0.36835736,-0.26875558]
[0.9455809 ,0.06972234]
[ 1.1769837,-1.5816916]
[-0.10512287, 0.44093457]
[0.8964307,0.2813031]
[0.42308939,0.48269752]
[0.12707753,0.03276351]
[ 1.0117414 ,-0.46170634]
[0.38724136,0.77763563]
[ 0.87106067,-1.2117472 ]
[-0.9848229,-1.1217213]
[-0.34516197,-1.0144786 ]
[-0.957953  , 0.08628499]
[-0.9794861, 1.3860301]
[-0.45366845,-1.5764002 ]
[0.5574683,0.1687667]
[-0.57106614,-0.38057798]
[-0.8120769, 0.2703135]
[ 1.0186133 ,-0.16084728]
[-0.59814656,-1.618512  ]
[-0.38739002, 1.5412871 ]
[-0.5922435 , 0.64701295]
[ 0.2875786,-1.5344653]
[-1.9441471, 0.6699721]
[-0.31430894, 0.74862397]
[-1.0037743, 0.5732168]
[ 0.5117661 ,-0.87867725]
[1.3966798 ,0.19626102]
[ 0.06110993,-0.45224622]
[-0.54682076, 0.5555696 ]
[ 0.44915947,-0.5857898 ]
[0.75221443,0.7826866 ]
[ 1.1560277 ,-0.82326066]
[0.83337176,0.06110475]
[-0.79579484,-0.00644488]
[ 0.70354456,-0.916871  ]
[ 0.00713274,-1.0767168 ]
[-1.3711007 ,-0.45920998]
[1.3284237,0.6450704]
[0.46712002,0.35460922]
[-0.8087532, 1.4473217]
[-1.5441953, 1.3564888]
[0.18086565,1.1872339 ]
[-1.6267662,-1.8306961]
[-0.24701683, 0.36754197]
[-1.2143584, 0.4239092]
[ 0.6653988,-1.6992505]
[-0.59951836,-0.86527187]
[ 0.31569934,-0.28299642]
[-2.8016942, 0.8844   ]
[0.86920726,0.00610323]
[ 0.850183 ,-1.8331357]
[ 0.39991593,-1.4279498 ]
[0.18850768,0.8905124 ]
[0.98037404,0.600287  ]
[-0.07013354,-0.87992054]
[2.9274812,1.3387611]
[ 1.607888 ,-0.6631812]
[-1.1529845, 1.8830817]
[1.354076 ,1.6186974]
[-0.02843395, 1.0894369 ]
[1.2831366,0.497563 ]
[-0.2577765,-1.4185818]
[0.66213197,0.39133188]
[ 0.2761113,-1.54483  ]
[ 1.2583216 ,-0.26452276]
[-0.60976297,-0.62856644]
[ 0.38820225,-1.4841366 ]
[-1.8236308 , 0.21259287]
[ 0.4203713,-0.7062359]
[1.1034573 ,0.21409953]
[ 0.67112076,-0.04322022]
[0.34437853,0.03628554]
[ 0.2803466,-0.5393985]
[-0.14202538,-0.6422281 ]
[ 0.8918627 ,-0.21091485]
[-0.06494675, 1.9018613 ]
[ 0.68083036,-0.53300685]
[ 2.2392676,-1.019445 ]
[-0.18608242, 0.51345474]
[-0.8101466, 0.0977108]
[-0.6617651,-1.3552092]
[0.93858045,0.8907554 ]
[0.53331   ,0.43150026]
[-0.861565  , 0.67404157]
[-0.4542739, 0.8842178]
[-1.672283  ,-0.45582318]
[0.4218674,0.9963979]
[0.90760976,2.2137053 ]
[-0.01281235,-0.769454  ]
[0.2146996,2.1626742]
[-2.0935385 , 0.33078903]
[-0.44959608, 0.6845887 ]
[-2.2725902 ,-0.26594695]
[ 1.6510859 ,-0.22798969]
